claim_id,manuscript_claim,reported_value,source_artifact,row/filter,aggregation_rule,reproduction_script,status
jacobian_sigma_gain,Photon geometry raises median sigma_min,4.54x,artifacts/kiselev_identifiability_grid/grid_metrics.json,ringdown_photon_complementarity,combined median divided by ringdown median,bhhairml.workflows.reproduce_current_study,PASS
jacobian_condition_gain,Photon geometry improves median condition number,2.28x,artifacts/kiselev_identifiability_grid/grid_metrics.json,ringdown_photon_complementarity,ringdown median divided by combined median,bhhairml.workflows.reproduce_current_study,PASS
grouped_wq,Grouped identifiable-wq NMAE,0.309 -> 0.087,artifacts/physical_shooting_ml_validation/summary_metrics.csv,protocol=grouped; target=wq; feature sets=ringdown/combined,median across registered folds and seeds,bhhairml.workflows.reproduce_current_study,PASS
nearest_random,Nearest-model random reduction,30.1%,artifacts/traditional_baselines/nearest_geometry_improvement.csv,protocol=random_interpolation,fractional reduction,bhhairml.workflows.reproduce_current_study,PASS
nearest_grouped,Nearest-model grouped reduction,32.9%,artifacts/traditional_baselines/nearest_geometry_improvement.csv,protocol=grouped_physical_interpolation,fractional reduction,bhhairml.workflows.reproduce_current_study,PASS
nearest_directional,Nearest-model directional reduction,23.3%,artifacts/traditional_baselines/nearest_geometry_improvement.csv,protocol=directional_extrapolation,fractional reduction,bhhairml.workflows.reproduce_current_study,PASS
phase161_typical,Typical 81-to-161 prediction shift,9.482e-4,artifacts/journal_phase_convergence/final_journal_readiness.json,frozen prediction changes,median normalized shift,bhhairml.workflows.reproduce_current_study,PASS
phase321_median,Targeted 161-to-321 feature change median,1.963e-4,artifacts/targeted_321_audit/feature_convergence_81_161_321.csv,normalized_change_161_321,median,bhhairml.workflows.reproduce_current_study,PASS
phase321_p95,Targeted 161-to-321 feature change p95,7.234e-3,artifacts/targeted_321_audit/feature_convergence_81_161_321.csv,normalized_change_161_321,95th percentile,bhhairml.workflows.reproduce_current_study,PASS
tree_tail_shifts,HGB/RF tail shifts,reported by model,artifacts/targeted_321_audit/robust_estimator_metrics.csv,base_model in HGB/RF,p95 prediction shift by registered group,bhhairml.workflows.reproduce_current_study,PASS
mlp_counts,MLP catastrophic records,410 / 409 / 63,artifacts/targeted_321_audit/mlp_catastrophic_outliers.csv,catastrophic audit,total / already catastrophic / newly catastrophic,bhhairml.workflows.reproduce_current_study,PASS
jacobian_ood,Raw Jacobian predictions outside domain,1315 / 9950,artifacts/traditional_baselines/run_manifest.json,out_of_domain_jacobian_predictions / total,raw unclipped prediction count,bhhairml.workflows.reproduce_current_study,PASS
finite_domain_threshold,No unresolved distant collision,d_theta >= 0.25,artifacts/global_ambiguity_audit/distant_pair_summary.csv,combined feature set and threshold,all-pairs finite-grid audit,bhhairml.workflows.reproduce_current_study,PASS
finite_domain_distance,Closest combined distant pair,0.03155,artifacts/global_ambiguity_audit/global_ambiguity_summary.json,numerical_resolution combined,minimum RMS standardized distance for d_theta>=0.5,bhhairml.workflows.reproduce_current_study,PASS
resolution_scale,Maximum 161-to-321 feature scale,0.002462,artifacts/global_ambiguity_audit/global_ambiguity_summary.json,numerical_resolution combined,maximum RMS change,bhhairml.workflows.reproduce_current_study,PASS
distance_ratio,Distant-pair to resolution ratio,12.8x,artifacts/global_ambiguity_audit/global_ambiguity_summary.json,numerical_resolution combined,0.03155 / 0.002462,bhhairml.workflows.reproduce_current_study,PASS
distant_pair_count,Distant pairs below local-median spacing,13 -> 6,artifacts/global_ambiguity_audit/distant_pair_summary.csv,d_theta=0.5; ringdown -> combined,count below local median,bhhairml.workflows.reproduce_current_study,PASS
